Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,Admission
153,321,112,5,5.0,5.0,9.06,1,0.86,1.0
367,320,104,3,3.5,4.5,8.34,1,0.74,1.0
40,307,108,2,4.0,3.5,7.7,0,0.48,0.0
42,316,105,2,2.5,2.5,8.2,1,0.49,0.0
335,312,107,4,4.5,4.0,8.65,1,0.73,1.0
163,318,109,3,3.0,3.0,8.5,0,0.67,0.0
254,335,115,4,4.5,4.5,9.68,1,0.93,1.0
438,317,106,1,1.5,3.5,7.65,1,0.61,0.0
346,316,98,1,1.5,2.0,7.43,0,0.49,0.0
197,306,105,2,3.0,2.5,8.26,0,0.73,1.0
345,295,96,2,1.5,2.0,7.34,0,0.47,0.0
337,319,110,3,3.0,2.5,8.79,0,0.72,0.0
255,321,114,4,4.0,5.0,9.12,0,0.85,1.0
178,319,110,3,3.5,3.5,9.04,0,0.82,1.0
446,328,116,5,4.5,5.0,9.08,1,0.91,1.0
441,305,104,2,2.5,1.5,7.79,0,0.53,0.0
413,314,102,4,2.5,2.0,7.88,1,0.59,0.0
381,322,104,3,3.5,4.0,8.84,1,0.78,1.0
498,330,120,5,4.5,5.0,9.56,1,0.93,1.0
428,310,101,3,3.5,5.0,8.65,1,0.71,0.0
248,311,104,2,2.5,3.5,8.48,0,0.71,0.0
236,326,111,5,4.5,4.0,9.23,1,0.88,1.0
270,308,108,4,4.5,5.0,8.34,0,0.77,1.0
206,295,99,2,2.5,3.0,7.65,0,0.57,0.0
46,322,110,5,5.0,4.0,9.1,1,0.88,1.0
324,305,102,2,2.0,2.5,8.18,0,0.62,0.0
142,332,118,2,4.5,3.5,9.36,1,0.9,1.0
456,305,102,2,1.5,2.5,7.64,0,0.59,0.0
320,327,113,4,3.5,3.0,8.69,1,0.8,1.0
144,340,120,4,4.5,4.0,9.92,1,0.97,1.0
353,303,100,2,3.0,3.5,8.06,1,0.64,0.0
370,301,98,1,2.0,3.0,8.03,1,0.67,0.0
256,307,110,4,4.0,4.5,8.37,0,0.79,1.0
318,300,99,1,1.0,2.5,8.01,0,0.58,0.0
405,311,101,3,2.0,2.5,7.64,1,0.62,0.0
38,300,105,1,1.0,2.0,7.8,0,0.58,0.0
101,322,107,3,3.5,3.5,8.46,1,0.71,0.0
454,319,103,3,2.5,4.0,8.76,1,0.73,1.0
284,321,111,3,2.5,3.0,8.9,1,0.8,1.0
124,308,108,3,3.5,3.5,8.22,0,0.61,0.0
138,316,100,2,1.5,3.0,8.16,1,0.71,0.0
20,303,102,3,3.5,3.0,8.5,0,0.62,0.0
475,308,105,4,3.0,2.5,7.95,1,0.67,0.0
216,330,116,5,5.0,4.5,9.36,1,0.93,1.0
417,315,104,3,4.0,2.5,8.1,0,0.65,0.0
17,317,107,3,4.0,3.0,8.7,0,0.66,0.0
78,301,99,2,3.0,2.0,8.22,0,0.64,0.0
125,301,106,4,2.5,3.0,8.47,0,0.57,0.0
352,325,110,4,3.5,4.0,8.67,1,0.73,1.0
22,325,114,4,3.0,2.0,8.4,0,0.7,0.0
491,307,105,2,2.5,4.5,8.12,1,0.67,0.0
341,312,107,3,3.0,3.0,8.46,1,0.75,1.0
208,310,102,3,3.5,4.0,8.02,1,0.66,0.0
303,322,105,2,3.0,3.0,8.45,1,0.65,0.0
312,328,108,4,4.5,4.0,9.18,1,0.84,1.0
12,327,111,4,4.0,4.5,9.0,1,0.84,1.0
401,304,100,2,3.5,3.0,8.22,0,0.63,0.0
275,315,100,1,2.0,2.5,7.95,0,0.58,0.0
432,320,112,2,3.5,3.5,8.78,1,0.73,1.0
14,307,109,3,4.0,3.0,8.0,1,0.62,0.0
156,312,109,3,3.0,3.0,8.69,0,0.77,1.0
128,319,112,3,2.5,2.0,8.71,1,0.78,1.0
52,312,100,2,1.5,3.5,7.9,1,0.56,0.0
338,332,118,5,5.0,5.0,9.47,1,0.94,1.0
469,323,110,4,4.0,5.0,8.88,1,0.81,1.0
18,319,106,3,4.0,3.0,8.0,1,0.65,0.0
41,308,110,3,3.5,3.0,8.0,1,0.46,0.0
366,330,114,4,4.5,3.0,9.17,1,0.86,1.0
187,317,107,3,3.5,3.0,8.68,1,0.84,1.0
329,324,112,4,4.0,3.5,8.77,1,0.8,1.0
30,310,99,2,1.5,2.0,7.3,0,0.54,0.0
421,299,100,3,2.0,3.0,7.42,0,0.42,0.0
308,325,112,4,4.0,4.0,9.0,1,0.8,1.0
340,324,107,5,3.5,4.0,8.66,1,0.81,1.0
81,312,105,3,2.0,3.0,8.02,1,0.5,0.0
369,298,92,1,2.0,2.0,7.88,0,0.51,0.0
280,304,102,2,3.0,4.0,8.73,0,0.67,0.0
57,316,102,3,2.0,3.0,7.4,0,0.64,0.0
165,329,111,4,4.5,4.0,9.01,1,0.81,1.0
429,316,103,2,2.0,4.5,8.74,0,0.69,0.0
192,323,110,5,4.0,5.0,8.98,1,0.87,1.0
427,312,106,3,3.0,5.0,8.57,0,0.71,0.0
299,330,114,3,4.5,4.5,9.24,1,0.9,1.0
412,313,94,2,2.5,1.5,8.13,0,0.56,0.0
348,299,94,1,1.0,1.0,7.34,0,0.42,0.0
112,321,109,4,4.0,4.0,8.68,1,0.69,0.0
499,312,103,4,4.0,5.0,8.43,0,0.73,1.0
211,325,108,4,4.5,4.0,9.06,1,0.79,1.0
354,300,102,3,3.5,2.5,8.17,0,0.63,0.0
448,320,108,3,3.5,5.0,8.97,1,0.84,1.0
398,330,116,4,5.0,4.5,9.45,1,0.91,1.0
322,323,104,3,4.0,4.0,8.44,1,0.73,1.0
64,315,107,2,4.0,3.0,8.5,1,0.56,0.0
361,322,110,3,4.0,5.0,8.64,1,0.85,1.0
301,309,106,2,2.5,2.5,8.0,0,0.62,0.0
372,324,110,3,3.5,3.0,9.22,1,0.89,1.0
191,324,111,5,4.5,4.0,9.16,1,0.9,1.0
481,321,102,3,3.5,4.0,9.01,1,0.8,1.0
61,309,100,2,3.0,3.0,8.1,0,0.48,0.0
29,295,93,1,2.0,2.0,7.2,0,0.46,0.0
72,336,112,5,5.0,5.0,9.76,1,0.96,1.0
300,305,112,3,3.0,3.5,8.65,0,0.71,0.0
290,313,109,3,4.0,3.5,9.0,0,0.79,1.0
385,340,113,4,5.0,5.0,9.74,1,0.96,1.0
241,296,101,1,2.5,3.0,7.68,0,0.6,0.0
349,302,99,1,2.0,2.0,7.25,0,0.57,0.0
283,312,106,3,4.0,3.5,8.79,1,0.81,1.0
402,315,105,2,3.0,3.0,8.34,0,0.66,0.0
136,314,109,4,3.5,4.0,8.77,1,0.82,1.0
480,325,110,4,4.5,4.0,8.96,1,0.79,1.0
330,297,96,2,2.5,1.5,7.89,0,0.43,0.0
379,303,98,1,2.0,2.5,7.65,0,0.56,0.0
336,325,111,4,4.0,4.5,9.11,1,0.83,1.0
315,305,105,2,3.0,4.0,8.13,0,0.66,0.0
65,325,111,3,3.0,3.5,8.7,0,0.52,0.0
418,316,103,3,3.5,2.0,7.68,0,0.52,0.0
403,324,109,3,3.5,3.0,8.94,1,0.78,1.0
333,308,106,3,3.5,2.5,8.21,1,0.75,1.0
157,315,105,3,2.0,2.5,8.34,0,0.7,0.0
311,320,104,3,3.0,3.5,8.74,1,0.76,1.0
278,320,101,2,2.5,3.0,8.62,0,0.7,0.0
476,300,101,3,3.5,2.5,7.88,0,0.59,0.0
49,321,110,3,3.5,5.0,8.85,1,0.82,1.0
150,311,106,2,3.5,3.0,8.26,1,0.79,1.0
493,298,101,4,2.5,4.5,7.69,1,0.53,0.0
358,301,104,2,3.5,3.5,7.89,1,0.68,0.0
100,323,113,3,4.0,4.0,8.88,1,0.79,1.0
4,322,110,3,3.5,2.5,8.67,1,0.8,1.0
201,317,103,3,2.5,3.0,8.54,1,0.73,1.0
323,314,107,2,2.5,4.0,8.27,0,0.72,0.0
376,304,101,2,2.0,2.5,7.66,0,0.38,0.0
326,326,116,3,3.5,4.0,9.14,1,0.81,1.0
126,300,100,3,2.0,3.0,8.66,1,0.64,0.0
306,321,109,3,3.5,3.5,8.8,1,0.74,1.0
276,322,110,3,3.5,3.0,8.96,1,0.78,1.0
73,321,111,5,5.0,5.0,9.45,1,0.93,1.0
382,319,105,3,3.0,3.5,8.67,1,0.73,1.0
71,332,118,5,5.0,5.0,9.64,1,0.94,1.0
291,307,105,2,2.5,3.0,7.65,0,0.58,0.0
455,310,105,2,3.0,3.5,8.01,0,0.71,0.0
167,302,102,3,3.5,5.0,8.33,0,0.65,0.0
106,316,110,3,4.0,4.5,8.78,1,0.69,0.0
19,318,110,3,4.0,3.0,8.8,0,0.63,0.0
145,325,112,2,3.0,3.5,8.96,1,0.8,1.0
373,336,119,4,4.5,4.0,9.62,1,0.95,1.0
51,313,98,3,2.5,4.5,8.3,1,0.76,1.0
436,309,105,2,2.5,4.0,7.68,0,0.55,0.0
350,313,101,3,2.5,3.0,8.04,0,0.62,0.0
13,328,112,4,4.0,4.5,9.1,1,0.78,1.0
411,301,96,1,3.0,4.0,7.56,0,0.54,0.0
220,312,104,3,3.5,3.5,8.42,0,0.74,1.0
155,326,108,3,3.0,3.5,8.89,0,0.8,1.0
47,329,114,5,4.0,5.0,9.3,1,0.86,1.0
26,340,120,5,4.5,4.5,9.6,1,0.94,1.0
179,309,108,3,2.5,3.0,8.12,0,0.72,0.0
225,305,105,2,3.0,2.0,8.23,0,0.67,0.0
387,302,101,2,2.5,3.5,7.96,0,0.46,0.0
117,299,102,3,4.0,3.5,8.62,0,0.56,0.0
443,331,116,4,4.5,4.5,9.44,1,0.92,1.0
67,327,114,3,3.0,3.0,9.02,0,0.61,0.0
484,304,103,5,5.0,3.0,7.92,0,0.71,0.0
37,299,106,2,4.0,4.0,8.4,0,0.64,0.0
359,314,105,2,2.5,2.0,7.64,0,0.7,0.0
252,316,99,2,2.5,3.0,9.0,0,0.7,0.0
390,320,108,3,3.5,4.0,8.44,1,0.76,1.0
395,329,111,4,4.5,4.0,9.23,1,0.89,1.0
169,293,97,2,2.0,4.0,7.8,1,0.64,0.0
375,315,105,2,2.0,2.5,7.65,0,0.39,0.0
177,329,119,4,4.5,4.5,9.16,1,0.9,1.0
141,329,110,2,4.0,3.0,9.15,1,0.84,1.0
122,334,119,5,4.5,4.5,9.48,1,0.94,1.0
250,321,111,3,3.5,4.0,8.83,1,0.77,1.0
180,307,102,3,3.0,3.0,8.27,0,0.73,1.0
494,300,95,2,3.0,1.5,8.22,1,0.62,0.0
321,317,106,3,4.0,3.5,8.5,1,0.75,1.0
54,324,112,4,4.0,2.5,8.1,1,0.72,0.0
168,313,102,3,2.0,3.0,8.27,0,0.64,0.0
6,330,115,5,4.5,3.0,9.34,1,0.9,1.0
10,323,108,3,3.5,3.0,8.6,0,0.45,0.0
495,301,99,3,2.5,2.0,8.45,1,0.68,0.0
258,324,100,3,4.0,5.0,8.64,1,0.78,1.0
89,314,108,3,4.5,3.5,8.14,0,0.64,0.0
449,312,109,2,2.5,4.0,9.02,0,0.8,1.0
232,319,106,3,3.5,2.5,8.33,1,0.74,1.0
68,316,107,2,3.5,3.5,8.64,1,0.57,0.0
431,311,104,3,4.0,3.5,8.13,1,0.74,1.0
217,322,112,4,4.5,4.5,9.26,1,0.91,1.0
470,326,114,4,4.0,3.5,9.16,1,0.86,1.0
464,304,107,3,3.5,3.0,7.86,0,0.57,0.0
309,312,108,3,3.5,3.0,8.53,0,0.69,0.0
44,332,117,4,4.5,4.0,9.1,0,0.87,1.0
194,336,118,5,4.5,5.0,9.53,1,0.94,1.0
419,309,111,2,2.5,4.0,8.03,0,0.6,0.0
200,313,107,3,4.0,4.5,8.69,0,0.72,0.0
15,311,104,3,3.5,2.0,8.2,1,0.61,0.0
109,331,116,5,5.0,5.0,9.38,1,0.93,1.0
203,340,120,5,4.5,4.5,9.91,1,0.97,1.0
355,297,98,2,2.5,3.0,7.67,0,0.59,0.0
94,301,97,2,3.0,3.0,7.88,1,0.44,0.0
166,322,110,5,4.5,4.0,8.97,0,0.78,1.0
384,300,100,3,3.0,3.5,8.26,0,0.62,0.0
260,331,119,4,5.0,4.5,9.34,1,0.9,1.0
161,315,103,1,1.5,2.0,7.86,0,0.57,0.0
127,323,113,3,4.0,3.0,9.32,1,0.85,1.0
466,305,96,4,3.0,4.5,8.26,0,0.54,0.0
257,309,99,3,4.0,4.0,8.56,0,0.76,1.0
93,298,98,2,4.0,3.0,8.03,0,0.34,0.0
282,317,110,3,4.0,4.5,9.11,1,0.8,1.0
262,312,104,3,3.5,4.0,8.09,0,0.71,0.0
243,324,115,3,3.5,3.0,8.76,1,0.7,0.0
408,298,100,3,2.5,4.0,7.95,1,0.58,0.0
351,318,107,3,3.0,3.5,8.27,1,0.74,1.0
392,318,106,3,2.0,3.0,8.65,0,0.71,0.0
148,326,114,3,3.0,3.0,9.11,1,0.83,1.0
477,304,104,3,2.5,2.0,8.12,0,0.62,0.0
460,329,113,4,4.0,3.5,9.36,1,0.89,1.0
74,314,108,4,4.5,4.0,9.04,1,0.84,1.0
59,300,99,1,3.0,2.0,6.8,1,0.36,0.0
240,299,100,1,1.5,2.0,7.89,0,0.59,0.0
207,315,99,2,3.5,3.0,7.89,0,0.63,0.0
114,320,110,2,4.0,3.5,8.56,0,0.72,0.0
221,313,103,3,4.0,4.0,8.75,0,0.76,1.0
487,319,102,3,2.5,2.5,8.37,0,0.68,0.0
391,314,102,2,2.0,2.5,8.24,0,0.64,0.0
75,314,106,3,3.0,5.0,8.9,0,0.74,1.0
97,306,100,2,3.0,3.0,8.0,0,0.48,0.0
204,334,120,5,4.0,5.0,9.87,1,0.97,1.0
172,334,117,5,4.0,4.5,9.07,1,0.89,1.0
437,310,110,1,1.5,4.0,7.23,1,0.58,0.0
115,311,105,3,3.5,3.0,8.45,1,0.59,0.0
426,323,111,5,4.0,5.0,9.86,1,0.92,1.0
289,314,104,4,5.0,5.0,9.02,0,0.82,1.0
110,304,103,5,5.0,4.0,8.64,0,0.68,0.0
459,312,100,1,3.0,3.0,8.53,1,0.69,0.0
222,316,110,3,3.5,4.0,8.56,0,0.75,1.0
146,320,113,2,2.0,2.5,8.64,1,0.81,1.0
393,326,112,4,4.0,3.5,9.12,1,0.84,1.0
253,318,100,2,2.5,3.5,8.54,1,0.71,0.0
399,312,103,3,3.5,4.0,8.78,0,0.67,0.0
238,329,114,5,4.5,5.0,9.19,1,0.86,1.0
314,301,100,3,3.5,3.0,8.04,0,0.67,0.0
420,308,102,2,2.0,3.5,7.98,1,0.58,0.0
218,321,109,4,4.0,4.0,9.13,1,0.85,1.0
365,313,102,3,3.5,4.0,8.9,1,0.77,1.0
199,311,104,3,4.5,4.5,8.43,0,0.7,0.0
170,311,99,2,2.5,3.0,7.98,0,0.65,0.0
143,331,115,5,4.0,3.5,9.44,1,0.92,1.0
404,330,116,4,4.0,3.5,9.23,1,0.91,1.0
135,333,113,5,4.0,4.0,9.28,1,0.89,1.0
277,329,113,5,5.0,4.5,9.45,1,0.89,1.0
83,320,110,5,5.0,4.5,9.22,1,0.92,1.0
134,323,112,5,4.0,4.5,8.78,0,0.79,1.0
137,312,103,3,5.0,4.0,8.45,0,0.76,1.0
104,317,104,2,4.5,4.0,8.47,0,0.57,0.0
319,324,111,3,2.5,2.0,8.8,1,0.79,1.0
362,334,116,4,4.0,3.5,9.54,1,0.93,1.0
43,313,107,2,2.5,2.0,8.5,1,0.53,0.0
226,296,99,2,2.5,2.5,8.03,0,0.61,0.0
92,299,97,3,5.0,3.5,7.66,0,0.38,0.0
235,330,113,5,5.0,4.0,9.31,1,0.91,1.0
497,337,117,5,5.0,5.0,9.87,1,0.96,1.0
444,321,114,5,4.5,4.5,9.16,1,0.87,1.0
80,294,93,1,1.5,2.0,7.36,0,0.46,0.0
447,327,118,4,5.0,5.0,9.67,1,0.93,1.0
79,296,95,2,3.0,2.0,7.54,1,0.44,0.0
85,340,115,5,4.5,4.5,9.45,1,0.94,1.0
27,322,109,5,4.5,3.5,8.8,0,0.76,1.0
88,317,107,2,3.5,3.0,8.28,0,0.66,0.0
450,315,101,3,3.5,4.5,9.13,0,0.79,1.0
316,308,104,2,2.5,3.0,8.07,0,0.65,0.0
492,297,99,4,3.0,3.5,7.81,0,0.54,0.0
229,318,112,3,4.0,3.5,8.67,0,0.71,0.0
406,302,99,3,2.5,3.0,7.45,0,0.52,0.0
98,331,120,3,4.0,4.0,8.96,1,0.86,1.0
39,304,105,1,3.0,1.5,7.5,0,0.52,0.0
195,316,109,3,3.5,3.0,8.76,0,0.77,1.0
363,338,115,5,4.5,5.0,9.23,1,0.91,1.0
219,324,110,4,3.0,3.5,8.97,1,0.84,1.0
56,320,103,3,3.0,3.0,7.7,0,0.64,0.0
423,322,112,4,3.5,2.5,9.02,1,0.73,1.0
152,332,116,5,5.0,5.0,9.28,1,0.94,1.0
48,339,119,5,4.5,4.0,9.7,0,0.89,1.0
91,318,106,2,4.0,4.0,7.92,1,0.64,0.0
490,302,110,3,4.0,4.5,8.5,0,0.65,0.0
120,327,104,5,3.0,3.5,8.84,1,0.71,0.0
479,318,103,3,4.0,4.5,8.49,1,0.71,0.0
96,304,100,4,1.5,2.5,7.84,0,0.42,0.0
63,304,105,2,3.0,3.0,8.2,1,0.54,0.0
247,316,105,3,3.0,3.5,8.73,0,0.72,0.0
327,299,100,3,2.0,2.0,8.02,0,0.63,0.0
23,328,116,5,5.0,5.0,9.5,1,0.94,1.0
173,322,110,4,4.0,5.0,9.13,1,0.86,1.0
273,294,95,1,1.5,1.5,7.64,0,0.49,0.0
389,296,97,2,1.5,2.0,7.8,0,0.49,0.0
55,322,110,3,3.0,3.5,8.0,0,0.7,0.0
212,328,110,4,5.0,4.0,9.14,1,0.82,1.0
224,308,109,2,3.0,4.0,8.45,0,0.71,0.0
246,328,110,4,4.0,2.5,9.02,1,0.81,1.0
215,331,117,4,4.5,5.0,9.42,1,0.94,1.0
196,307,107,2,3.0,3.5,8.52,1,0.78,1.0
82,340,120,4,5.0,5.0,9.5,1,0.96,1.0
451,320,112,4,3.0,4.5,8.86,1,0.82,1.0
70,328,115,4,4.5,4.0,9.16,1,0.78,1.0
132,303,105,5,5.0,4.5,8.65,0,0.77,1.0
230,324,111,4,3.0,3.0,9.01,1,0.82,1.0
271,306,105,2,2.5,3.0,8.22,1,0.72,0.0
307,323,110,3,4.0,3.5,9.1,1,0.79,1.0
176,320,111,4,4.5,3.5,8.87,1,0.85,1.0
34,340,114,5,4.0,4.0,9.6,1,0.9,1.0
149,339,116,4,4.0,3.5,9.8,1,0.96,1.0
66,325,112,4,3.5,3.5,8.92,0,0.55,0.0
140,318,109,1,3.5,3.5,9.12,0,0.78,1.0
279,308,103,2,3.0,3.5,8.49,0,0.66,0.0
186,327,113,4,4.5,4.5,9.11,1,0.89,1.0
139,326,116,2,4.5,3.0,9.08,1,0.8,1.0
33,338,118,4,3.0,4.5,9.4,1,0.91,1.0
171,312,101,2,2.5,3.5,8.04,1,0.68,0.0
31,300,97,2,3.0,3.0,8.1,1,0.65,0.0
205,298,105,3,3.5,4.0,8.54,0,0.69,0.0
310,308,110,4,3.5,3.0,8.6,0,0.7,0.0
45,326,113,5,4.5,4.0,9.4,1,0.91,1.0
133,309,105,5,3.5,3.5,8.56,0,0.71,0.0
188,335,118,5,4.5,3.5,9.44,1,0.93,1.0
397,325,107,3,3.0,3.5,9.11,1,0.84,1.0
453,328,116,4,5.0,3.5,9.6,1,0.93,1.0
77,327,112,3,3.0,3.0,8.72,1,0.74,1.0
8,308,101,2,3.0,4.0,7.9,0,0.68,0.0
223,324,113,4,4.5,4.0,8.79,0,0.76,1.0
424,334,119,5,4.5,5.0,9.54,1,0.94,1.0
342,326,110,3,3.5,3.5,8.76,1,0.79,1.0
60,311,104,2,2.0,2.0,8.3,0,0.42,0.0
108,338,117,4,3.5,4.5,9.46,1,0.91,1.0
268,314,107,3,3.0,3.5,8.17,1,0.73,1.0
364,306,103,2,2.5,3.0,8.36,0,0.69,0.0
25,336,119,5,4.0,3.5,9.8,1,0.97,1.0
11,325,106,3,3.5,4.0,8.4,1,0.52,0.0
1,337,118,4,4.5,4.5,9.65,1,0.92,1.0
425,325,114,5,4.0,5.0,9.46,1,0.91,1.0
16,314,105,3,3.5,2.5,8.3,0,0.54,0.0
297,310,107,3,3.5,3.5,8.67,0,0.76,1.0
386,335,117,5,5.0,5.0,9.82,1,0.96,1.0
285,340,112,4,5.0,4.5,9.66,1,0.94,1.0
394,317,104,2,3.0,3.0,8.76,0,0.77,1.0
182,305,107,2,2.5,2.5,8.42,0,0.71,0.0
95,303,99,3,2.0,2.5,7.66,0,0.36,0.0
190,324,112,5,5.0,5.0,9.08,1,0.88,1.0
496,332,108,5,4.5,4.0,9.02,1,0.87,1.0
328,295,101,2,2.5,2.0,7.86,0,0.69,0.0
107,329,111,4,4.5,4.5,9.18,1,0.87,1.0
111,305,108,5,3.0,3.0,8.48,0,0.61,0.0
465,298,97,2,2.0,3.0,7.21,0,0.45,0.0
210,301,104,3,3.5,4.0,8.12,1,0.68,0.0
407,322,103,4,3.0,2.5,8.02,1,0.61,0.0
102,312,105,2,2.5,3.0,8.12,0,0.64,0.0
24,334,119,5,5.0,4.5,9.7,1,0.95,1.0
237,325,112,4,4.0,4.5,9.17,1,0.85,1.0
119,296,99,2,3.0,3.5,7.28,0,0.47,0.0
304,323,107,3,3.5,3.5,8.55,1,0.73,1.0
430,340,115,5,5.0,4.5,9.06,1,0.95,1.0
414,317,101,3,3.0,2.0,7.94,1,0.49,0.0
378,290,100,1,1.5,2.0,7.56,0,0.47,0.0
2,324,107,4,4.0,4.5,8.87,1,0.76,1.0
36,320,110,5,5.0,5.0,9.2,1,0.88,1.0
62,307,101,3,4.0,3.0,8.2,0,0.47,0.0
185,316,106,2,2.5,4.0,8.32,0,0.72,0.0
239,310,104,3,2.0,3.5,8.37,0,0.7,0.0
343,308,106,3,3.0,3.0,8.24,0,0.58,0.0
325,315,104,3,3.0,2.5,8.33,0,0.67,0.0
442,332,112,1,1.5,3.0,8.66,1,0.79,1.0
244,325,114,3,3.5,3.0,9.04,1,0.76,1.0
213,338,120,4,5.0,5.0,9.66,1,0.95,1.0
202,315,110,2,3.5,3.0,8.46,1,0.72,0.0
356,317,106,2,2.0,3.5,8.12,0,0.73,1.0
272,299,96,2,1.5,2.0,7.86,0,0.54,0.0
457,299,100,2,2.0,2.0,7.88,0,0.51,0.0
228,312,110,2,3.5,3.0,8.53,0,0.64,0.0
368,311,98,1,1.0,2.5,7.46,0,0.57,0.0
334,319,108,3,3.0,3.5,8.54,1,0.71,0.0
422,321,112,3,3.0,4.5,8.95,1,0.77,1.0
174,323,113,4,4.0,4.5,9.23,1,0.89,1.0
130,333,118,5,5.0,5.0,9.35,1,0.92,1.0
154,324,105,3,3.0,4.0,8.75,0,0.79,1.0
296,317,100,2,3.0,2.5,8.57,0,0.68,0.0
374,321,109,3,3.0,3.0,8.54,1,0.79,1.0
409,297,101,3,2.0,4.0,7.67,1,0.57,0.0
193,322,114,5,4.5,4.0,8.94,1,0.86,1.0
458,295,99,1,2.0,1.5,7.57,0,0.37,0.0
295,316,101,2,2.5,2.0,8.32,1,0.61,0.0
377,297,96,2,2.5,2.0,7.43,0,0.34,0.0
434,316,111,4,4.0,5.0,8.54,0,0.71,0.0
274,312,99,1,1.0,1.5,8.01,1,0.52,0.0
164,317,105,3,3.5,3.0,8.56,0,0.68,0.0
452,324,113,4,4.5,4.5,9.25,1,0.89,1.0
293,302,99,2,1.0,2.0,7.97,0,0.56,0.0
317,298,101,2,1.5,2.0,7.86,0,0.54,0.0
99,332,119,4,5.0,4.5,9.24,1,0.9,1.0
50,327,111,4,3.0,4.0,8.4,1,0.78,1.0
263,308,103,2,2.5,4.0,8.36,1,0.7,0.0
371,310,103,2,2.5,2.5,8.24,0,0.72,0.0
461,319,105,4,4.0,4.5,8.66,1,0.77,1.0
